3.109	-6161.1
3.118	-6128.94
3.127	-6122.55
3.136	-6099.11
3.145	-6067.26
3.154	-6039.13
3.163	-6057.34
3.172	-6028.53
3.181	-6013.47
3.19	-5979.3
3.199	-5977.36
3.208	-5967.04
3.217	-5930.89
3.226	-5941.93
3.235	-5918.52
3.244	-5911.62
3.253	-5893.35
3.262	-5878.65
3.271	-5861.85
3.28	-5842.74
3.289	-5826.47
3.298	-5809.82
3.307	-5797.23
3.316	-5789.83
3.325	-5762.22
3.334	-5768.62
3.343	-5747.8
3.352	-5713.41
3.361	-5714.92
3.37	-5703.52
3.379	-5689.91
3.388	-5664.25
3.397	-5661.11
3.406	-5645.05
3.415	-5628.57
3.424	-5629.61
3.433	-5615.4
3.442	-5586.66
3.451	-5580.87
3.46	-5536.78
3.469	-5552.4
3.478	-5539.93
3.487	-5517.12
3.496	-5508.5
3.505	-5483.44
3.514	-5472.4
3.523	-5442.58
3.532	-5464.85
3.541	-5445.31
3.55	-5442.37
3.559	-5420.95
3.568	-5405.69
3.577	-5385.82
3.586	-5386.48
3.595	-5352.71
3.604	-5352.56
3.613	-5355.47
3.622	-5334.08
3.631	-5317.09
3.64	-5304.77
3.649	-5291.04
3.658	-5277.65
3.667	-5264.62
3.676	-5253.37
3.685	-5247.21
3.694	-5232.18
3.703	-5227.04
3.712	-5217.85
3.721	-5209.8
3.73	-5178.61
3.739	-5155.63
3.748	-5153.29
3.757	-5148.84
3.766	-5150.97
3.775	-5125.95
3.784	-5114.53
3.793	-5101.92
3.802	-5083.08
3.811	-5066.32
3.82	-5062.95
3.829	-5051.34
3.838	-5045.87
3.847	-5046
3.856	-5022.11
3.865	-5012.8
3.874	-4997.45
3.883	-4983.71
3.892	-4975.16
3.901	-4969.13
3.91	-4951.6
3.919	-4953.92
3.928	-4938.2
3.937	-4920.82
3.946	-4898.37
3.955	-4898.9
3.964	-4880.93
3.973	-4891.14
3.982	-4875.96
3.991	-4870.14
4	-4847.92
