3.109	0.665554
3.118	0.665526
3.127	0.665521
3.136	0.665527
3.145	0.665522
3.154	0.665528
3.163	0.665504
3.172	0.665516
3.181	0.665524
3.19	0.665525
3.199	0.665521
3.208	0.665522
3.217	0.665523
3.226	0.665519
3.235	0.665504
3.244	0.665512
3.253	0.665512
3.262	0.665511
3.271	0.665512
3.28	0.665498
3.289	0.66551
3.298	0.665507
3.307	0.665512
3.316	0.665496
3.325	0.665513
3.334	0.665494
3.343	0.665502
3.352	0.665513
3.361	0.665512
3.37	0.665492
3.379	0.665502
3.388	0.665492
3.397	0.665493
3.406	0.665489
3.415	0.665486
3.424	0.665477
3.433	0.66548
3.442	0.665484
3.451	0.665474
3.46	0.665493
3.469	0.665485
3.478	0.665474
3.487	0.665476
3.496	0.665479
3.505	0.665484
3.514	0.665473
3.523	0.66548
3.532	0.665474
3.541	0.665468
3.55	0.665456
3.559	0.665463
3.568	0.665464
3.577	0.665456
3.586	0.66545
3.595	0.665459
3.604	0.665445
3.613	0.665447
3.622	0.665448
3.631	0.665445
3.64	0.665432
3.649	0.665442
3.658	0.665432
3.667	0.665442
3.676	0.665437
3.685	0.665429
3.694	0.665422
3.703	0.665424
3.712	0.665424
3.721	0.665411
3.73	0.665438
3.739	0.665424
3.748	0.665413
3.757	0.66541
3.766	0.665409
3.775	0.665407
3.784	0.665394
3.793	0.665399
3.802	0.665396
3.811	0.665399
3.82	0.665383
3.829	0.665397
3.838	0.665391
3.847	0.665367
3.856	0.665374
3.865	0.665384
3.874	0.665363
3.883	0.665394
3.892	0.665353
3.901	0.665369
3.91	0.66534
3.919	0.665364
3.928	0.665356
3.937	0.665347
3.946	0.665349
3.955	0.665349
3.964	0.665349
3.973	0.665341
3.982	0.665332
3.991	0.665324
4	0.665331
